Anio,Mes,FECHA,Pais_Destino,Prod_Principal,TRADICIONAL_Y_NO_TRAD,Codigo_Subpartida,Suma_FOB_miles,Suma_TM_Peso_Neto
2020,3,01-mar-2020,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,997042257.00,2108281293
2020,3,01-mar-2020,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,4414936814.00,7343790004
2020,4,01-abr-2020,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,1044832377.00,1687804943
2020,4,01-abr-2020,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1005863662.00,1955582612
2020,4,01-abr-2020,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,3759199917.00,6057408291
2020,5,01-may-2020,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,885919732.00,1274263459
2020,5,01-may-2020,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,760805570.00,1521540476
2020,5,01-may-2020,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,645663024.00,1004944762
2020,5,01-may-2020,ESTADOS UNIDOS,Banano,TRADICIONAL,803901900,865080.00,2032560
2020,6,01-jun-2020,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,894349493.00,1177984826
2020,6,01-jun-2020,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,972750084.00,1745831294
2020,6,01-jun-2020,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,4159974693.00,6696710763
2020,7,01-jul-2020,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,831891525.00,1051898420
2020,7,01-jul-2020,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1133601841.00,2081059972
2020,7,01-jul-2020,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,4833665411.00,7730555167
2020,8,01-ago-2020,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,1187615706.00,1328182490
2020,8,01-ago-2020,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,840618908.00,1731740531
2020,8,01-ago-2020,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,2551573276.00,4234244045
2020,9,01-sep-2020,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,1236379772.00,1517461728
2020,9,01-sep-2020,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1195650893.00,2527608414
2020,9,01-sep-2020,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,104877560.00,156354501
2020,9,01-sep-2020,ESTADOS UNIDOS,Banano,TRADICIONAL,803901900,0.01,0.05
2020,10,01-oct-2020,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,1059113044.00,1580657257
2020,10,01-oct-2020,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1143682131.00,2444739413
2020,10,01-oct-2020,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,142127695.00,245360888
2020,11,01-nov-2020,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,1119024527.00,1642981328
2020,11,01-nov-2020,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1227175796.00,2647196047
2020,11,01-nov-2020,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,319013651.00,574274684
2020,12,01-dic-2020,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,1009185799.00,1410386310
2020,12,01-dic-2020,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,2033787095.00,4199115265
2020,12,01-dic-2020,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,828031878.00,1578326456
2019,1,01-ene-2019,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,1031146584.00,1636115342
2019,1,01-ene-2019,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1766881304.00,3637241953
2019,1,01-ene-2019,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,1506649174.00,2593176364
2019,2,01-feb-2019,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,1035277798.00,1657560579
2019,2,01-feb-2019,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,2159227111.00,4473489566
2019,2,01-feb-2019,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,714163316.00,1180917553
2019,3,01-mar-2019,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,1124912756.00,1790683823
2019,3,01-mar-2019,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1600102793.00,3349150329
2019,3,01-mar-2019,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,194927931.00,319858911
2019,4,01-abr-2019,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,1003826032.00,1602397829
2019,4,01-abr-2019,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1563152046.00,3308023697
2019,4,01-abr-2019,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,150794882.00,238940860
2019,5,01-may-2019,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,1210207713.00,1920190618
2019,5,01-may-2019,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1830625722.00,3865084916
2019,5,01-may-2019,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,210296879.00,324086936
2019,6,01-jun-2019,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,1021291238.00,1595687231
2019,6,01-jun-2019,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1905421298.00,3998476382
2019,6,01-jun-2019,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,265738257.00,461217692
2019,7,01-jul-2019,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,1004854690.00,1562596948
2019,7,01-jul-2019,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1846622296.00,3841577297
2019,7,01-jul-2019,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,141020534.00,210924037
2019,8,01-ago-2019,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,1170929319.00,1850245487
2019,8,01-ago-2019,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1432622199.00,3053853246
2019,8,01-ago-2019,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,1191914368.00,2013570267
2019,9,01-sep-2019,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,956120068.00,1504648703
2019,9,01-sep-2019,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,800810955.00,1628045997
2019,9,01-sep-2019,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,726947588.00,1203469723
2019,10,01-oct-2019,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,992105528.00,1567434274
2019,10,01-oct-2019,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,997852434.00,2144770352
2019,10,01-oct-2019,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,776266443.00,1317698198
2019,11,01-nov-2019,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,1030765718.00,1730969047
2019,11,01-nov-2019,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1303361851.00,2862670435
2019,11,01-nov-2019,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,821082217.00,1422784540
2019,12,01-dic-2019,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,1656435938.00,1513804360
2019,12,01-dic-2019,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1687835644.00,3428131957
2019,12,01-dic-2019,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,1088542180.00,2256534629
2018,1,01-ene-2018,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,855415055.00,1481922782
2018,1,01-ene-2018,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,2960034733.00,5207454001
2018,1,01-ene-2018,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,697200272.00,1135275892
2018,1,01-ene-2018,ESTADOS UNIDOS,Banano,TRADICIONAL,803901900,1537920.00,3552388
2018,2,01-feb-2018,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,927854871.00,1508076772
2018,2,01-feb-2018,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,2402419516.00,4602394699
2018,2,01-feb-2018,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,128957057.00,224293848
2018,3,01-mar-2018,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,1005619300.00,1685943839
2018,3,01-mar-2018,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1557720798.00,3222361019
2018,3,01-mar-2018,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,1148556678.00,1908352687
2018,3,01-mar-2018,ESTADOS UNIDOS,Banano,TRADICIONAL,803901900,18455040.00,42628651
2018,4,01-abr-2018,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,1239004289.00,1823646403
2018,4,01-abr-2018,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1462626511.00,2700688386
2018,4,01-abr-2018,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,1229828832.00,1970487386
2018,5,01-may-2018,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,1236108859.00,2052916172
2018,5,01-may-2018,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1650087319.00,3355601236
2018,5,01-may-2018,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,58591623.00,65759254
2018,5,01-may-2018,ESTADOS UNIDOS,Banano,TRADICIONAL,803901900,865080.00,2052000
2018,6,01-jun-2018,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,1110921171.00,1813920052
2018,6,01-jun-2018,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,2000870981.00,4026603901
2018,6,01-jun-2018,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,167101948.00,234852772
2018,6,01-jun-2018,ESTADOS UNIDOS,Banano,TRADICIONAL,803901900,1653480.00,4506650
2018,7,01-jul-2018,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,944382543.00,1529512574
2018,7,01-jul-2018,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1967062917.00,4229404728
2018,7,01-jul-2018,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,976967821.00,1601835964
2018,7,01-jul-2018,ESTADOS UNIDOS,Banano,TRADICIONAL,803901900,788400.00,2454545
2018,8,01-ago-2018,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,994942445.00,1634449609
2018,8,01-ago-2018,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1549637873.00,3226440999
2018,8,01-ago-2018,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,486204133.00,772527524
2018,8,01-ago-2018,ESTADOS UNIDOS,Banano,TRADICIONAL,803901900,196800.00,0.35
2018,9,01-sep-2018,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,970298693.00,1566434675
2018,9,01-sep-2018,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,926329950.00,2029477868
2018,9,01-sep-2018,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,110770113.00,150509548
2018,10,01-oct-2018,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,932728799.00,1503818479
2018,10,01-oct-2018,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,823770275.00,1791099475
2018,10,01-oct-2018,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,204697364.00,313429885
2018,11,01-nov-2018,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,1041170047.00,1692433587
2018,11,01-nov-2018,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1362717101.00,3119578817
2018,11,01-nov-2018,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,406284101.00,650437780
2018,11,01-nov-2018,ESTADOS UNIDOS,Banano,TRADICIONAL,803901900,0.63,0.69
2018,12,01-dic-2018,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,1064877692.00,1762777822
2018,12,01-dic-2018,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1776009451.00,3786902015
2018,12,01-dic-2018,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,151648894.00,238193188
2017,1,01-ene-2017,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,767151797.00,1411327203
2017,1,01-ene-2017,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1478589327.00,3443882966
2017,1,01-ene-2017,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,2076066467.00,3463529147
2017,2,01-feb-2017,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,708421598.00,1249341778
2017,2,01-feb-2017,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,911701964.00,1902631557
2017,2,01-feb-2017,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,2919115961.00,4996910696
2017,3,01-mar-2017,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,896224766.00,1571446746
2017,3,01-mar-2017,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1006791292.00,2062245308
2017,3,01-mar-2017,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,2436559003.00,4221707691
2017,4,01-abr-2017,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,802029883.00,1400602105
2017,4,01-abr-2017,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1167667907.00,1901635563
2017,4,01-abr-2017,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,2152780021.00,3580542414
2017,5,01-may-2017,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,800656044.00,1361937492
2017,5,01-may-2017,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1366196392.00,2424928961
2017,5,01-may-2017,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,2917369703.00,4826734906
2017,6,01-jun-2017,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,1070660203.00,1930082685
2017,6,01-jun-2017,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1922953231.00,3924079186
2017,6,01-jun-2017,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,1940444598.00,3504695542
2017,7,01-jul-2017,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,930467974.00,1670079331
2017,7,01-jul-2017,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1600766414.00,3190986992
2017,7,01-jul-2017,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,884484875.00,1458138632
2017,8,01-ago-2017,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,855488344.00,1604786557
2017,8,01-ago-2017,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1449415820.00,3040377258
2017,8,01-ago-2017,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,51064127.00,60767048
2017,9,01-sep-2017,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,778892769.00,1413159062
2017,9,01-sep-2017,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1115645624.00,2318966666
2017,9,01-sep-2017,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,38736936.00,47614340
2017,10,01-oct-2017,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,807909814.00,1491716575
2017,10,01-oct-2017,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,946483628.00,1950322235
2017,10,01-oct-2017,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,62717428.00,97734540
2017,11,01-nov-2017,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,948998121.00,1628020917
2017,11,01-nov-2017,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1508339836.00,2921647447
2017,11,01-nov-2017,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,384418797.00,615262432
2017,12,01-dic-2017,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,957484228.00,1602587891
2017,12,01-dic-2017,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1996782805.00,3484937304
2017,12,01-dic-2017,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,1224158166.00,2039609332
2016,1,01-ene-2016,ESTADOS UNIDOS,Banano,TRADICIONAL,803901100,4813097955.00,10161200448
2016,1,01-ene-2016,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,42684284.00,47188144
2016,2,01-feb-2016,ESTADOS UNIDOS,Banano,TRADICIONAL,803901100,4237318097.00,8912087215
2016,2,01-feb-2016,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,56749892.00,90083434
2016,3,01-mar-2016,ESTADOS UNIDOS,Banano,TRADICIONAL,803901100,2964742224.00,6169287297
2016,3,01-mar-2016,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,42130218.00,51577797
2016,4,01-abr-2016,ESTADOS UNIDOS,Banano,TRADICIONAL,803901100,3283754359.00,6825152597
2016,4,01-abr-2016,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,42747998.00,49612566
2016,5,01-may-2016,ESTADOS UNIDOS,Banano,TRADICIONAL,803901100,3091274004.00,6431766185
2016,5,01-may-2016,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,39742684.00,46655803
2016,6,01-jun-2016,ESTADOS UNIDOS,Banano,TRADICIONAL,803901100,3395537011.00,7123309359
2016,6,01-jun-2016,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,46112078.00,53664355
2016,6,01-jun-2016,ESTADOS UNIDOS,Banano,TRADICIONAL,803901900,0.03,0.02
2016,7,01-jul-2016,ESTADOS UNIDOS,Banano,TRADICIONAL,803901100,4169734968.00,8618438994
2016,7,01-jul-2016,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,47084625.00,54133287
2016,8,01-ago-2016,ESTADOS UNIDOS,Banano,TRADICIONAL,803901100,135050696.00,293084457
2016,8,01-ago-2016,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,570239127.00,1033754055
2016,8,01-ago-2016,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,2181485456.00,4729224544
2016,8,01-ago-2016,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,40113030.00,45951396
2016,9,01-sep-2016,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,1018401227.00,1797148873
2016,9,01-sep-2016,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1905625714.00,3976090544
2016,9,01-sep-2016,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,95628188.00,135148860
